seed,gate_mode,optimizer,step,S,lag,prefix,mean_probability,min_probability,mean_attention,min_attention,certified_probability_lower_bound,example_count,train_R
0,learned,adam,0,0.0,27,0,0.5,0.5,3.2295602115147337e-12,3.2295602113835577e-12,,112,2
0,learned,adam,0,0.0,27,64,0.5,0.5,3.2295602115086636e-12,3.2295602113774884e-12,,112,2
0,learned,adam,0,0.0,28,0,0.5,0.5,1.1880888058401538e-12,1.188088805791897e-12,,112,2
0,learned,adam,0,0.0,28,64,0.5,0.5,1.1880888058393308e-12,1.1880888057910739e-12,,112,2
0,learned,adam,0,0.0,29,0,0.5,0.5,4.3707344595433167e-13,4.3707344593657894e-13,,112,2
0,learned,adam,0,0.0,29,64,0.5,0.5,4.3707344595421984e-13,4.3707344593646706e-13,,112,2
0,learned,adam,0,0.0,30,0,0.5,0.5,1.607903350485303e-13,1.6079033504199945e-13,,112,2
0,learned,adam,0,0.0,30,64,0.5,0.5,1.6079033504851544e-13,1.6079033504198455e-13,,112,2
0,learned,adam,0,0.0,31,0,0.5,0.5,5.915145860341885e-14,5.915145860101628e-14,,112,2
0,learned,adam,0,0.0,31,64,0.5,0.5,5.915145860341675e-14,5.915145860101419e-14,,112,2
0,learned,adam,0,0.0,32,0,0.5,0.5,2.1760605535500932e-14,2.1760605534617074e-14,,112,2
0,learned,adam,0,0.0,32,64,0.5,0.5,2.1760605535500702e-14,2.1760605534616843e-14,,112,2
0,learned,adam,3,0.0,1,0,0.5037499286321144,0.5037499286321145,1.0,1.0,0.49861815297920875,112,2
0,learned,adam,3,0.0,1,64,0.5009909364134933,0.5009909364134933,0.632125065362997,0.6321250653629968,0.49861815297920875,112,2
0,learned,adam,3,0.0,2,0,0.49826987074001033,0.4982697334046976,0.2693151129480271,0.26929680134857803,0.4975238190821473,112,2
0,learned,adam,3,0.0,2,64,0.4979961920830568,0.4979960894428319,0.23282410538931408,0.23281041980231112,0.4975238190821473,112,2
0,learned,adam,3,0.0,3,0,0.4969264339861721,0.49692637660810074,0.09018592067659971,0.09017826997583528,0.49681462903755724,112,2
0,learned,adam,3,0.0,3,64,0.49689270500122795,0.496892653202997,0.08568854960143701,0.08568164290195496,0.49681462903755724,112,2
0,learned,adam,3,0.0,4,0,0.4964909372946669,0.4964909155464928,0.03211715892596751,0.032114259025756785,0.4964746824960872,112,2
0,learned,adam,3,0.0,4,64,0.49648651784034026,0.49648649688290014,0.03152786912147515,0.03152507465735271,0.4964746824960872,112,2
0,learned,adam,3,0.0,5,0,0.4963376503663106,0.4963376422904044,0.011677844713995748,0.011676767868432322,0.49633525379395727,112,2
0,learned,adam,3,0.0,5,64,0.4963370591874581,0.496337051220209,0.011599016614870065,0.01159795425769429,0.49633525379395727,112,2
0,learned,adam,3,0.0,6,0,0.49628215236119794,0.4962821493806045,0.004277705539896246,0.004277308105356683,0.49628176821083225,112,2
0,learned,adam,3,0.0,6,64,0.49628207269460123,0.49628206972879224,0.004267082736653739,0.004266687273495521,0.49628176821083225,112,2
0,learned,adam,3,0.0,7,0,0.4962618547116519,0.49626185361388275,0.0015712010443329034,0.0015710546668945438,0.49626178138099997,112,2
0,learned,adam,3,0.0,7,64,0.49626184394698386,0.4962618428512195,0.0015697656746302424,0.0015696195645073122,0.49626178138099997,112,2
0,learned,adam,3,0.0,8,0,0.4962544036732241,0.49625440326920983,0.0005776733300071061,0.0005776194584082824,0.4962543859314371,112,2
0,learned,adam,3,0.0,8,64,0.4962544022172534,0.4962544018135107,0.0005774791896413457,0.0005774253542448638,0.4962543859314371,112,2
0,learned,adam,3,0.0,9,0,0.4962516647775169,0.49625166462886683,0.00021246662313088318,0.00021244680201441918,0.49625165950220135,112,2
0,learned,adam,3,0.0,9,64,0.496251664580519,0.49625166443190577,0.00021244035525702724,0.00021242053904119127,0.49625165950220135,112,2
0,learned,adam,3,0.0,10,0,0.4962506574977677,0.49625065744308,7.815506836631879e-05,7.814777625451941e-05,0.49625065572655597,112,2
0,learned,adam,3,0.0,10,64,0.4962506574711097,0.49625065741642677,7.815151375819213e-05,7.814422230966868e-05,0.49625065572655597,112,2
0,learned,adam,3,0.0,11,0,0.4962502869842096,0.4962502869640909,2.875046837837007e-05,2.8747785736416172e-05,0.4962502863555607,112,2
0,learned,adam,3,0.0,11,64,0.4962502869806019,0.4962502869604839,2.8749987339944234e-05,2.874730478775597e-05,0.4962502863555607,112,2
0,learned,adam,3,0.0,12,0,0.4962501506868918,0.49625015067949063,1.0576465397917109e-05,1.0575478513497484e-05,0.4962501504587318,112,2
0,learned,adam,3,0.0,12,64,0.49625015068640366,0.49625015067900247,1.0576400298721803e-05,1.0575413426450512e-05,0.4962501504587318,112,2
0,learned,adam,3,0.0,13,0,0.4962501005472467,0.496250100544524,3.890801457755009e-06,3.890438406673511e-06,0.49625010046373247,112,2
0,learned,adam,3,0.0,13,64,0.4962501005471807,0.49625010054445795,3.890792647786742e-06,3.89042959834931e-06,0.49625010046373247,112,2
0,learned,adam,3,0.0,14,0,0.49625008210222576,0.4962500821012242,1.431326293977578e-06,1.4311927364439432e-06,0.49625008207155985,112,2
0,learned,adam,3,0.0,14,64,0.4962500821022168,0.4962500821012152,1.4313251017089277e-06,1.4311915443977866e-06,0.49625008207155985,112,2
0,learned,adam,3,0.0,15,0,0.49625007531677806,0.49625007531640963,5.265487910379738e-07,5.264996585499681e-07,0.4962500753055045,112,2
0,learned,adam,3,0.0,15,64,0.49625007531677695,0.49625007531640847,5.265486296859956e-07,5.264994972280999e-07,0.4962500753055045,112,2
0,learned,adam,3,0.0,16,0,0.49625007282058375,0.4962500728204483,1.9370406476131728e-07,1.9368599014792554e-07,0.4962500728164375,112,2
0,learned,adam,3,0.0,16,64,0.4962500728205836,0.4962500728204481,1.9370404292524081e-07,1.9368596831592407e-07,0.4962500728164375,112,2
0,learned,adam,3,0.0,17,0,0.4962500719022967,0.49625007190224685,7.125886511173123e-08,7.125221591416242e-08,0.4962500719007715,112,2
0,learned,adam,3,0.0,17,64,0.4962500719022967,0.49625007190224674,7.125886215661227e-08,7.125221295959487e-08,0.4962500719007715,112,2
0,learned,adam,3,0.0,18,0,0.4962500715644819,0.4962500715644636,2.6214349661688213e-08,2.621190358851993e-08,0.4962500715639208,112,2
