seed,gate_mode,optimizer,step,S,delta_min,max_row_norm,m,h,w,m_rho,reference_gap,reference_gap_retained,error_target,certified_radius,bound_valid,bound_invalid_reason,radius_definition,radius_rounding
0,learned,sgd,0,0.0,-1.817513499889216e-10,4.655738713312595e-05,0.25,1.0,0.0,0.0006910930088240085,,,0.1,,False,nonpositive_matching_gap,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,0,0.0,-1.817513499889216e-10,4.655738713312595e-05,0.25,1.0,0.0,0.0006910930088240085,,,0.01,,False,nonpositive_matching_gap,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,0,0.0,-1.817513499889216e-10,4.655738713312595e-05,0.25,1.0,0.0,0.0006910930088240085,,,0.001,,False,nonpositive_matching_gap,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,3,0.0,0.007279386661384487,0.08463526427717641,0.24999999999997813,1.0000000003567504,0.2000499412386145,0.0006910930088239487,0.007279386661384487,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,3,0.0,0.007279386661384487,0.08463526427717641,0.24999999999997813,1.0000000003567504,0.2000499412386145,0.0006910930088239487,0.007279386661384487,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,3,0.0,0.007279386661384487,0.08463526427717641,0.24999999999997813,1.0000000003567504,0.2000499412386145,0.0006910930088239487,0.007279386661384487,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,1000,3776.230261264594,0.0072793925524095035,0.08463529201839853,329.08331491856376,1.0469683877684455,6.369344291269543,0.025546201560191606,0.007279386661384487,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,1000,3776.230261264594,0.0072793925524095035,0.08463529201839853,329.08331491856376,1.0469683877684455,6.369344291269543,0.025546201560191606,0.007279386661384487,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,1000,3776.230261264594,0.0072793925524095035,0.08463529201839853,329.08331491856376,1.0469683877684455,6.369344291269543,0.025546201560191606,0.007279386661384487,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,2000,6316.300135017985,0.007279393201645731,0.0846352940764352,380.60778572969974,1.1599704361138359,7.143178458043814,0.024798958724722448,0.007279386661384487,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,adjacent_integer_verified
0,learned,sgd,2000,6316.300135017985,0.007279393201645731,0.0846352940764352,380.60778572969974,1.1599704361138359,7.143178458043814,0.024798958724722448,0.007279386661384487,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,2000,6316.300135017985,0.007279393201645731,0.0846352940764352,380.60778572969974,1.1599704361138359,7.143178458043814,0.024798958724722448,0.007279386661384487,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,3000,8280.582358251637,0.007279393365868979,0.0846352945706973,400.7885453633702,1.205256569830717,7.469786096087809,0.024536072363442487,0.007279386661384487,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,adjacent_integer_verified
0,learned,sgd,3000,8280.582358251637,0.007279393365868979,0.0846352945706973,400.7885453633702,1.205256569830717,7.469786096087809,0.024536072363442487,0.007279386661384487,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,3000,8280.582358251637,0.007279393365868979,0.0846352945706973,400.7885453633702,1.205256569830717,7.469786096087809,0.024536072363442487,0.007279386661384487,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,4000,9904.240851134537,0.007279393436636385,0.08463529477912328,412.73664112621816,1.232299399831468,7.670177964748532,0.02438725268078729,0.007279386661384487,True,0.1,1,True,,max_radius_certified_by_uniform_upper_bound,adjacent_integer_verified
0,learned,sgd,4000,9904.240851134537,0.007279393436636385,0.08463529477912328,412.73664112621816,1.232299399831468,7.670177964748532,0.02438725268078729,0.007279386661384487,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,4000,9904.240851134537,0.007279393436636385,0.08463529477912328,412.73664112621816,1.232299399831468,7.670177964748532,0.02438725268078729,0.007279386661384487,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,5000,11299.626091843822,0.007279393474804653,0.08463529489000715,421.0020123849826,1.2510974099926901,7.81202392739511,0.024287087177180113,0.007279386661384487,True,0.1,1,True,,max_radius_certified_by_uniform_upper_bound,adjacent_integer_verified
0,learned,sgd,5000,11299.626091843822,0.007279393474804653,0.08463529489000715,421.0020123849826,1.2510974099926901,7.81202392739511,0.024287087177180113,0.007279386661384487,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,5000,11299.626091843822,0.007279393474804653,0.08463529489000715,421.0020123849826,1.2510974099926901,7.81202392739511,0.024287087177180113,0.007279386661384487,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,sgd,6000,12529.964347562545,0.0072793934981069605,0.08463529495724782,427.2209400632124,1.265289704697904,7.920551630979498,0.024213150760808183,0.007279386661384487,True,0.1,1,True,,max_radius_certified_by_uniform_upper_bound,adjacent_integer_verified
