seed,gate_mode,optimizer,step,S,examples,elapsed_seconds,log_loss,loss,q,p,u,v,x,w,m,g,h,rho,log_rho,m_rho,delta_min,delta_max,row_norm_max,table_movement,content_horizon,sg_balance,train_overwrite_min_probability,train_recall_min_probability,calibration_probability,certificate_valid,pair_count,train_R
0,learned,sgd,0,0.0,0,0.008218417002353817,-0.36651292058166496,0.6931471805599448,0.5,0.5,1.7,1.7,0.5413248546129181,0.0,0.25,2.9440867909212463,1.0,0.002764372035296034,-5.890941781810344,0.0006910930088240085,-1.817513499889216e-10,1.1343763515800389e-10,4.655738713312595e-05,0.0,0.9999999999545621,-1.6137056389255473,0.5,0.5,0.5,False,56,2
0,learned,sgd,3,0.0,720,0.018751416995655745,-0.44646825282257596,0.6398840743760316,0.49999999999997813,0.49999999999997813,1.6999999999999997,1.6999999999999997,0.5413248551772888,0.2000499412386145,0.24999999999997813,2.944086790921246,1.0000000003567504,0.0027643720352960367,-5.890941781810343,0.0006910930088239487,0.007279386661384487,0.008386202398337442,0.08463526427717641,0.08460530732627643,1.0018198466646968,-1.6118857932849273,0.5144185810322892,0.4769404476754279,0.5498463585659299,True,56,2
0,learned,sgd,1000,3776.230261264594,19917128,1.1412049169884995,-4.966433353724123,0.0069679560021509435,18.140653651910224,18.140653651910224,2.173223388683676,2.173223388683676,0.6146454643507876,6.369344291269543,329.08331491856376,4.731749982230742,1.0469683877684455,7.762837069546771e-05,-9.463577595845416,0.025546201560191606,0.0072793925524095035,0.008386207863775008,0.08463529201839853,0.08460533537893812,3.2880601360336725,-6.54168948710579,0.9860710642160413,0.976874769140161,0.9982896480442109,True,56,2
0,learned,sgd,2000,6316.300135017985,45778784,2.183265041996492,-5.956636876114248,0.002588603142152501,19.509171836080068,19.509171836080068,2.193450244309592,2.193450244309592,0.7838280117578527,7.143178458043814,380.60778572969974,4.819328933193635,1.1599704361138359,6.515620450900126e-05,-9.638723024714537,0.024798958724722448,0.007279393201645731,0.008386208264652301,0.0846352940764352,0.08460533751722107,3.388503742574965,-6.651086991522805,0.994999633170521,0.9915416946581644,0.9992103876130479,True,56,2
0,learned,sgd,3000,8280.582358251637,76406904,3.1518621669965796,-6.362249682277314,0.001725480559157949,20.019703927964823,20.019703927964823,2.200599128688705,2.200599128688705,0.8491313070026459,7.469786096087809,400.7885453633702,4.850491825729394,1.205256569830717,6.121949503620955e-05,-9.701044872827815,0.024536072363442487,0.007279393365868979,0.008386208360796054,0.0846352945706973,0.08460533803260756,3.4206443269122104,-6.691706201187301,0.9967222853862031,0.9944344536630788,0.9994302745523073,True,56,2
0,learned,sgd,4000,9904.240851134537,111149260,4.112217541987775,-6.607567530578475,0.001350112265204683,20.31592087812458,20.31592087812458,2.204655519213617,2.204655519213617,0.8875230258908114,7.670177964748532,412.73664112621816,4.868222671297333,1.232299399831468,5.908671596067351e-05,-9.736504431056314,0.02438725268078729,0.007279393436636385,0.008386208401356116,0.08463529477912328,0.0846053382504772,3.4381026209088783,-6.715235519764239,0.997462197247576,0.9956849026186511,0.9995336827636455,True,56,2
0,learned,sgd,5000,11299.626091843822,149565664,5.073647249984788,-6.7796483410271255,0.001136674549849817,20.51833356744603,20.51833356744603,2.207390012721171,2.207390012721171,0.9139581724495597,7.81202392739511,421.0020123849826,4.88019519250562,1.2510974099926901,5.7688767423208755e-05,-9.760448075442724,0.024287087177180113,0.007279393474804653,0.008386208422931736,0.08463529489000715,0.08460533836643438,3.4495609033774404,-6.731290541825993,0.9978793523008481,0.9963921676106384,0.9995953259716972,True,56,2
0,learned,sgd,6000,12529.964347562545,191333260,6.042607791983755,-6.910460766261375,0.0009972981692531607,20.669323647938082,20.669323647938082,2.209410546035269,2.209410546035269,0.9337845529539148,7.920551630979498,427.2209400632124,4.88905199972267,1.265289704697904,5.667594560609683e-05,-9.77816067699709,0.024213150760808183,0.0072793934981069605,0.008386208436003711,0.08463529495724782,0.08460533843680416,3.457863461470117,-6.7432610841890135,0.9981500396192402,0.9968519504380579,0.9996369299499439,True,56,2
0,learned,sgd,7000,13634.677401213725,236201892,7.003605624980992,-7.015086403649599,0.0008982281982289641,20.788343257012595,20.788343257012595,2.210991775401688,2.210991775401688,0.9494722380856224,8.007782843302676,432.155215371381,4.895989229664769,1.2765758577338726,5.589507105819612e-05,-9.792034355962784,0.024155346471353388,0.007279393513606847,0.008386208444636722,0.08463529500165282,0.08460533848329094,3.4642702214580114,-6.752684520110153,0.9983414717627265,0.9971775514952895,0.999667248851723,True,56,2
0,learned,sgd,8000,14640.148099390584,283970316,8.032221125002252,-7.101749686492154,0.0008236625105800365,20.885771070088786,20.885771070088786,2.2122787511743742,2.2122787511743742,0.9623548522890697,8.080324337130412,436.2154331921577,4.901639430588411,1.285880999172415,5.526702447542279e-05,-9.803334129728574,0.024108329022788137,0.00727939352452476,0.008386208450697007,0.08463529503281808,0.08460533851593223,3.469422755076413,-6.760395431982028,0.998484960968864,0.9974218166554515,0.999690525190417,True,56,2
0,learned,sgd,9000,15564.976118559222,334472104,9.115496749989688,-7.175400311343443,0.0007651793468074076,20.9677575373087,20.9677575373087,2.2133566339108754,2.2133566339108754,0.9732232146030575,8.1421754477593,439.64685614336577,4.906374366030763,1.293757063810287,5.474615173342876e-05,-9.812803479711883,0.02406897349554963,0.007279393532567413,0.008386208455133446,0.08463529505563287,0.0846053385398371,3.473696624154552,-6.766880515189829,0.9985971078606795,0.9976128534613578,0.9997090812120266,True,56,2
0,learned,sgd,10000,16422.80840538935,387566468,10.214508042001398,-7.239231219992378,0.0007178634270778151,21.03821838138157,21.03821838138157,2.2142792600477796,2.2142792600477796,0.9825823385756084,8.195928507286862,442.6066326627013,4.910429253436438,1.3005582601594494,5.4303992211332964e-05,-9.820912812339602,0.02403530713279964,0.007279393538694617,0.008386208458507304,0.08463529507298134,0.08460533855801809,3.4773268224010523,-6.77244833167642,0.9986875631757633,0.9977670275736016,0.9997243019308398,True,56,2
0,learned,sgd,11000,17223.98011750906,443132496,11.282053874980193,-7.295411556589201,0.0006786455688582616,21.09978053205929,21.09978053205929,2.215082576307216,2.215082576307216,0.990774210929884,8.243352159026884,445.2007385010683,4.913961256700246,1.3065254744846648,5.392176077260587e-05,-9.827976436615096,0.02400600771724207,0.007279393543494967,0.008386208461140795,0.08463529508652927,0.08460533857221772,3.4804655130678865,-6.7773103202575715,0.9987623378726461,0.99789452626464,0.9997370680029568,True,56,2
0,learned,sgd,12000,17976.52238260868,501064712,12.340103791997535,-7.345480013949699,0.0006455034429305267,21.154292146325034,21.154292146325034,2.2157917198438666,2.2157917198438666,0.9980384901236088,8.285705090430817,447.504076212069,4.917080344811842,1.3118280872445516,5.3586452295757486e-05,-9.834214277511784,0.023980155832095056,0.00727939354733844,0.008386208463240992,0.08463529509733146,0.08460533858354534,3.483220413147404,-6.781611623475081,0.9988253773649638,0.9980020549921935,0.9997479686701869,True,56,2
0,learned,adam,0,0.0,0,0.0014757500030100346,-0.36651292058166496,0.6931471805599448,0.5,0.5,1.7,1.7,0.5413248546129181,0.0,0.25,2.9440867909212463,1.0,0.002764372035296034,-5.890941781810344,0.0006910930088240085,-1.817513499889216e-10,1.1343763515800389e-10,4.655738713312595e-05,0.0,0.9999999999545621,-1.6137056389255473,0.5,0.5,0.5,False,56,2
0,learned,adam,3,0.0,720,0.01325912500033155,-0.3726206947821783,0.6889264967063466,0.49998617332921974,0.49998617332921974,1.6999865360372872,1.6999865360372872,0.5413405850089048,0.014998584161636774,0.24998617352039657,2.944043423861406,1.0000099435354728,0.002764611148182429,-5.890855287466408,0.0006911145622059556,0.0038331771357627375,0.004301334300626482,0.06206353392524085,0.062041388992013904,1.0009582317563837,-1.6127219207540902,0.501080366006208,0.4982686257676846,0.5037495757493988,True,56,2
0,learned,adam,1000,11.328690783793768,240000,2.168936208006926,-1.0113585866917774,0.3637244924908269,20.437044603028657,20.437044603028657,3.4745510718187154,3.4745510718187154,0.6046044500670694,1.0898472324110435,417.6727921061827,12.072510865152273,1.0404632668452642,3.265504579007238e-11,-24.145021730337202,1.363912415149478e-08,0.0038379164011524526,0.004306373746930552,0.06209484349890844,0.06207269625116173,2.5406533899075665,-7.553094873373534,0.66104059344094,0.5741247832307536,0.7483529533824173,True,56,2
0,learned,adam,2000,18.94890040505393,480000,4.372415667021414,-1.6753109068315817,0.18724995314129753,28.257165863691437,28.257165863691437,3.5839843741890705,3.5839843741890705,1.0544563210024993,1.75080513223722,798.4674226481686,12.844946633867385,1.3533615157116556,6.966603812876483e-12,-25.689893267741738,5.56260619107839e-09,0.003838945073609853,0.004307386396366257,0.06210130725165951,0.06207914458115594,3.2649325719900433,-7.6775061371582325,0.8090638802797597,0.7712447078834448,0.8520543238999574,True,56,2
0,learned,adam,3000,24.84174707475492,720000,6.571159458020702,-2.12508726146772,0.11942254682531625,31.89713477608555,31.89713477608555,3.6215217947457066,3.6215217947457066,1.3489156471450838,2.18370471391547,1017.4272069237662,13.115422123750992,1.5796475507709824,4.055917267097771e-12,-26.23084424750604,4.1266005765771604e-09,0.003839270778261039,0.0043076827809561185,0.06210325457275708,0.062081082152534925,3.472816510647369,-7.757796481413484,0.8759530328504077,0.8575668471260129,0.8987766149273156,True,56,2
