seed,gate_mode,optimizer,step,S,examples,elapsed_seconds,log_loss,loss,q,p,u,v,x,w,m,g,h,rho,log_rho,m_rho,delta_min,delta_max,row_norm_max,table_movement,content_horizon,sg_balance,train_overwrite_min_probability,train_recall_min_probability,calibration_probability,certificate_valid,pair_count,train_R
0,learned,adam,0,0.0,0,0.04488199998741038,-0.36651292058166496,0.6931471805599448,0.5,0.5,1.7,1.7,0.5413248546129181,0.0,0.25,2.9440867909212463,1.0,0.002764372035296034,-5.890941781810344,0.0006910930088240085,-1.817513499889216e-10,1.1343763515800389e-10,4.655738713312595e-05,0.0,0.9999999999545621,-1.6137056389255473,0.5,0.5,0.5,False,56,2
0,learned,adam,3,0.0,720,0.061557916982565075,-0.37262264834137293,0.6889251508489692,0.4999809764917329,0.4999809764917329,1.6999813256997438,1.6999813256997438,0.541344233925724,0.014999995771892517,0.24998097685362677,2.9440266416252907,1.0000122501057074,0.0027647036859051633,-5.890821815788445,0.0006911233281133953,0.007296790750680032,0.008179845429146166,0.08513033326726434,0.08510647573563886,1.0018240365351112,-1.6118422348367993,0.5010814562466848,0.4982697334046976,0.5037499286321145,True,56,2
0,learned,adam,1000,11.328690783793768,240000,2.582028459000867,-0.9489653643668053,0.38714136656709736,11.827635477832876,11.827635477832876,8.463514288542441,8.463514288542441,0.5590130881198248,1.147869054803978,139.89296099649093,71.63107411236207,1.011217417463079,6.05396018479644e-63,-143.26214822472414,8.469064160060374e-61,0.007299925405491595,0.008183218042834528,0.08514650553473156,0.08512264619745714,2.009879935206926,-6.953321638231678,0.6462537033186481,0.5014334950463666,0.7591214758913954,True,56,2
0,learned,adam,2000,18.94890040505393,480000,5.056698083993979,-1.7581724464403004,0.17235957251225834,19.44784474161202,19.44784474161202,11.035736387119108,11.035736387119108,0.8125465153756256,1.9098900118646112,378.2186650938463,121.7874776059847,1.179774250871257,1.6471798526731273e-106,-243.5749552119694,6.229941650475087e-104,0.007301072106485965,0.008184237088192964,0.08515191976473147,0.08512806016916065,3.3406187614535217,-6.713393514194044,0.8072485647187123,0.7787451783794381,0.8710067907553273,True,56,2
0,learned,adam,3000,24.84174707475492,720000,7.546282916999189,-2.4320653180873024,0.08785519615275783,25.34069009072059,25.34069009072059,13.092881422097852,13.092881422097852,1.1071888442876237,2.499174668721354,642.1505742739446,171.42354393311507,1.392733663969435,1.2688246377775859e-149,-342.84708786623014,8.147764698018065e-147,0.007301653828258549,0.008184744333992102,0.08515462479293064,0.08513076509034993,4.366588544720258,-5.954262608499951,0.8939634219714293,0.9105765493802909,0.9240839409310324,True,56,2
0,learned,adam,4000,29.71272255340369,960000,10.00929874999565,-2.942697089814085,0.05272333722751918,30.211664290812394,30.211664290812394,14.87152522148757,14.87152522148757,1.3507376139868956,2.9862722099262426,912.7446592207488,221.1622624133409,1.581094376953363,7.959754209444196e-193,-442.3245248266818,7.265223143380062e-190,0.00730200475247218,0.008185048546199331,0.08515624713066325,0.08513238736877761,5.215349783398856,-4.894873460649538,0.9367192794405308,0.9502394394479505,0.9519500838407489,True,56,2
0,learned,adam,5000,33.89887827553162,1200000,12.463046416989528,-3.3703037666856543,0.03437919250379352,34.397818908781225,34.397818908781225,16.460842413303475,16.460842413303475,1.5600453954046247,3.4048877777972426,1183.2099456813073,270.95933295561053,1.7507703216164936,4.443383053850368e-236,-541.9186659112211,5.257455021787536e-233,0.007302240142849003,0.008185251279526582,0.0851573283970617,0.08513346859880963,5.935018063817077,-3.6882141191867444,0.9597651709439995,0.9676406663776942,0.9678569417091483,True,56,2
0,learned,adam,6000,37.589893042687706,1440000,14.97870341700036,-3.74543232590681,0.023625412961415883,38.0888327140069,38.0888327140069,17.910063446270254,17.910063446270254,1.744596129879868,3.7739892514736724,1450.759177515602,320.7703726494259,1.9056221520848706,2.412094956573402e-279,-641.5407452988518,3.4993688952879605e-276,0.007302409886081345,0.00818539567538903,0.08515810058309342,0.08513424075971426,6.559359261552784,-2.4026705651411593,0.9730621731343585,0.977527134116689,0.9775550563328393,True,56,2
0,learned,adam,7000,40.904032203641215,1680000,17.435821291990578,-4.081717821045452,0.016878446584301064,41.40297103126656,41.40297103126656,19.250634427437998,19.250634427437998,1.910303084854277,4.105403165339053,1714.206010215898,370.5869258588611,2.0483553164837796,1.3e-322,-741.1738517177222,2.202e-319,0.007302538357096613,0.00818550306829413,0.0851586796380247,0.08513481979656289,7.111271340880312,-1.0737160924774125,0.9811850938360741,0.9837802054241868,0.9837839236442273,True,56,2
0,learned,adam,8000,43.92044429817172,1920000,19.953878250002163,-4.387360166564331,0.012433508326720874,44.41938238115656,44.41938238115656,20.503876890756974,20.503876890756974,2.0611236871405345,4.407044373098026,1973.0815311234019,420.40896755131786,2.1809586889128645,0.0,-840.8179351026357,0.0,0.007302639473891853,0.008185585222650222,0.08515912995496783,0.08513527010010626,7.606591471739885,0.2784751790533351,0.9863958847083447,0.9879551634274831,0.9879556765988183,True,56,2
