seed,gate_mode,optimizer,step,S,delta_min,max_row_norm,m,h,w,m_rho,reference_gap,reference_gap_retained,error_target,certified_radius,bound_valid,bound_invalid_reason,radius_definition,radius_rounding
0,learned,adam,0,0.0,-1.817513499889216e-10,4.655738713312595e-05,0.25,1.0,0.0,0.0006910930088240085,,,0.1,,False,nonpositive_matching_gap,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,0,0.0,-1.817513499889216e-10,4.655738713312595e-05,0.25,1.0,0.0,0.0006910930088240085,,,0.01,,False,nonpositive_matching_gap,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,0,0.0,-1.817513499889216e-10,4.655738713312595e-05,0.25,1.0,0.0,0.0006910930088240085,,,0.001,,False,nonpositive_matching_gap,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,2000,18.94890040505393,0.007301072106485965,0.08515191976473147,378.2186650938463,1.179774250871257,1.9098900118646112,6.229941650475087e-104,0.007296790750680032,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,2000,18.94890040505393,0.007301072106485965,0.08515191976473147,378.2186650938463,1.179774250871257,1.9098900118646112,6.229941650475087e-104,0.007296790750680032,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,2000,18.94890040505393,0.007301072106485965,0.08515191976473147,378.2186650938463,1.179774250871257,1.9098900118646112,6.229941650475087e-104,0.007296790750680032,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,3000,24.84174707475492,0.007301653828258549,0.08515462479293064,642.1505742739446,1.392733663969435,2.499174668721354,8.147764698018065e-147,0.007296790750680032,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,3000,24.84174707475492,0.007301653828258549,0.08515462479293064,642.1505742739446,1.392733663969435,2.499174668721354,8.147764698018065e-147,0.007296790750680032,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,3000,24.84174707475492,0.007301653828258549,0.08515462479293064,642.1505742739446,1.392733663969435,2.499174668721354,8.147764698018065e-147,0.007296790750680032,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,4000,29.71272255340369,0.00730200475247218,0.08515624713066325,912.7446592207488,1.581094376953363,2.9862722099262426,7.265223143380062e-190,0.007296790750680032,True,0.1,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,4000,29.71272255340369,0.00730200475247218,0.08515624713066325,912.7446592207488,1.581094376953363,2.9862722099262426,7.265223143380062e-190,0.007296790750680032,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,4000,29.71272255340369,0.00730200475247218,0.08515624713066325,912.7446592207488,1.581094376953363,2.9862722099262426,7.265223143380062e-190,0.007296790750680032,True,0.001,0,True,,max_radius_certified_by_uniform_upper_bound,
0,learned,adam,5000,33.89887827553162,0.007302240142849003,0.0851573283970617,1183.2099456813073,1.7507703216164936,3.4048877777972426,5.257455021787536e-233,0.007296790750680032,True,0.1,2,True,,max_radius_certified_by_uniform_upper_bound,adjacent_integer_verified
0,learned,adam,5000,33.89887827553162,0.007302240142849003,0.0851573283970617,1183.2099456813073,1.7507703216164936,3.4048877777972426,5.257455021787536e-233,0.007296790750680032,True,0.01,0,True,,max_radius_certified_by_uniform_upper_bound,
