seed,gate_mode,optimizer,step,S,delta_min,max_row_norm,m,h,w,m_rho,reference_gap,reference_gap_retained,probe,theta,clock_power,coefficient,lag,lower_error,upper_error,log_lower_error,log_upper_error,bound_valid,bound_invalid_reason,lower_bound_method,upper_bound_method
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,2,0.5020039105571681,0.5024761809178526,-0.6891473693662312,-0.6882070413308788,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,3,0.503107346797003,0.5031853709624428,-0.6869517185364232,-0.6867966460327288,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,4,0.5035135031170999,0.5035253175039129,-0.6861447486784626,-0.6861212850610298,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,5,0.5036629487797909,0.5036647462060427,-0.6858479870464639,-0.6858444183443211,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,8,0.5037455981864892,0.5037456140685628,-0.6856839038507582,-0.6856838723227937,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,16,0.5037499271795519,0.5037499271835624,-0.6856753102779755,-0.6856753102700143,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,32,0.5037499286321144,0.5037499286321144,-0.6856753073944764,-0.6856753073944764,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,64,0.5037499286321145,0.5037499286321145,-0.685675307394476,-0.685675307394476,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,128,0.5037499286321145,0.5037499286321145,-0.685675307394476,-0.685675307394476,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,256,0.5037499286321145,0.5037499286321145,-0.685675307394476,-0.685675307394476,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
